id,nome,tipo,posti_regolamentari,posti_non_disponibili,posti_occupati,posti_aggiornati_al,asl,nome_responsabile_asl,cognome_responsabile_asl,nome_direttore,cognome_direttore,ruolo_direttore,personale_polizia_effettivi,personale_polizia_previsti,personale_amministrativi_effettivi,personale_amministrativi_previsti,personale_educatori_effettivi,personale_educatori_previsti,personale_polizia_aggiornato_a,personale_amministrativo_aggiornato_al
MII157783,Alba,Casa di reclusione - Giuseppe Montalto,138,89,43,6/17/24,CN2 Alba-Bra,Paolo,Lo Russo,Nicola,Pangallo,Titolare,91,105,10,14,3,3,31/05/2024,31/05/2024
MII173364,Chieti,Casa circondariale,79,0,133,6/17/24,02,Giulia,COSCIONE,Franco,Pettinelli,Titolare,83,84,15,15,4,3,31/05/2024,31/05/2024
MII159069,Asti,Casa di reclusione,205,1,265,6/17/24,Asti,Rosario,Ruta,Giuseppina,Piscioneri,Titolare,167,186,12,22,6,7,31/05/2024,31/05/2024
MII173688,Civitavecchia Giuseppe Passerini,Casa di reclusione,144,52,70,6/17/24,RMF,Gaetano,Ciranni,Patrizia,Bravetti,Titolare,42,56,8,0,0,0,31/05/2024,31/05/2024
MII173356,Chiavari,Casa di reclusione,52,0,62,6/17/24,ASL 4 Chiavarese,Giovanni Battista,Andreoli,Darlene,Perna,Titolare,48,57,10,13,3,2,31/05/2024,31/05/2024
MII173764,Cuneo,Casa circondariale,433,48,373,6/17/24,CN1,Pasquale,Clemeno,Domenico,Minervini,Titolare,157,202,14,21,6,5,31/05/2024,31/05/2024
MII181636,Trento,Casa circondariale - Spini di Gardolo,422,6,364,6/17/24,Trento,Chiara,MAzzetti,Anna Rita,Nuzzaci,Titolare,172,227,19,27,7,8,31/05/2024,31/05/2024
MII172814,Brissogne - Aosta,Casa circondariale,181,3,146,6/17/24,Aosta,Marina,TUMIATI,Velia,Nobile Mattei,Titolare,118,158,5,15,1,3,31/05/2024,31/05/2024
MII176759,Isernia,Casa circondariale,50,0,75,6/17/24,Campobasso,Marcello,Baldo,Maria Antonietta,Lauria,Titolare,43,40,12,10,3,2,31/05/2024,31/05/2024
MII176414,Fossano,Casa di reclusione,136,0,96,6/17/24,ASL CN1,Besnik,Pjeternikaj,Assuntina,Di Rienzo,Titolare,63,83,9,16,2,3,31/05/2024,31/05/2024
MII177134,L'Aquila,Casa circondariale,228,6,159,6/17/24,1 Avezzano Sulmona L'Aquila,Fausto,Frabotta,Barbara,Lenzini,Titolare,140,165,20,20,2,3,31/05/2024,31/05/2024
MII176703,Genova Pontedecimo,Casa circondariale,96,0,164,6/17/24,3 Genovese,Maurizio,Cechini,Paola,Penco,Titolare,127,142,12,16,4,3,31/05/2024,31/05/2024
MII177107,Lanciano,Casa circondariale,289,0,265,6/17/24,Vasto-Lanciano-Chieti,Nicola,CAPRARO,Mario Giuseppe,Silla,Titolare,112,157,15,18,4,4,31/05/2024,31/05/2024
MII177323,Larino,Casa circondariale,119,0,122,6/17/24,ASREM Campobasso,Lucia,SCARDERA,Mario Giuseppe,Silla,Reggente,105,133,15,16,3,3,31/05/2024,31/05/2024
MII176749,Imperia,Casa circondariale,53,2,63,6/17/24,n. 1 Imperiese,Renata,Ghizzoni,Caterina,Tancredi,Titolare,47,67,10,13,1,2,31/05/2024,31/05/2024
MII176781,Ivrea,Casa circondariale,195,14,251,6/17/24,,,,Alessia,Aguglia,Titolare,172,182,13,20,4,4,31/05/2024,31/05/2024
MII179331,Paliano,Casa di reclusione,156,7,59,6/17/24,FROSINONE,Enzo,Gentile,Anna,Angeletti,Titolare,58,68,17,14,2,2,31/05/2024,31/05/2024
MII176788,La Spezia,Casa circondariale,151,32,156,6/17/24,5 La Spezia,Pier Marco,Passani,Maria Cristina,Bigi,Titolare,114,146,12,17,2,3,31/05/2024,31/05/2024
MII180401,Roma Regina Coeli,Casa circondariale,628,1,1133,6/17/24,RmA,Luigi,Persico,Claudia,Clementi,Titolare,327,516,34,48,8,11,31/05/2024,31/05/2024
MII180437,Saluzzo,Casa di reclusione - Rodolfo Morandi,424,0,334,6/17/24,CN1 CUNEO,Mitu,Igor,Luisa,Pesante,Titolare,181,231,14,24,7,7,31/05/2024,31/05/2024
MII180380,Roma Rebibbia,Casa di reclusione,445,132,287,6/17/24,Rm2,Pierino,Cimino,Maria Donata,Iannantuono,Titolare,133,196,23,29,6,8,31/05/2024,31/05/2024
MII180356,Roma Rebibbia IIIª casa,Casa circondariale,172,40,81,6/17/24,Rm2,Antonio,Chiaccio,Vera,Poggetti,Titolare,32,51,14,15,2,3,31/05/2024,31/05/2024
MII180348,Roma Rebibbia femminile,Casa circondariale - Germana Stefanini,272,14,355,6/17/24,,,,Nadia,Fontana,Titolare,185,227,25,26,6,7,31/05/2024,31/05/2024
MII181870,Verbania,Casa circondariale,53,0,78,6/17/24,VCO 14,Maria,Uzzeni,Claudia,Piscione Kivel Mazuy,Titolare,41,51,4,13,0,2,31/05/2024,31/05/2024
MII181880,Vercelli,Casa circondariale,230,38,313,6/17/24,Vercelli,Marilena,Vallero,Giovanni,Rempiccia,Titolare,150,199,9,18,5,4,31/05/2024,31/05/2024
MII179299,Padova Nuovo Complesso,Casa di reclusione,438,63,559,6/17/24,6 veneto,Alfonso Felice,Nava,Claudio,Mazzeo,Titolare,297,389,27,30,11,11,31/05/2024,31/05/2024
MII181371,Sulmona,Casa di reclusione,323,8,444,6/17/24,Sulmona,Fabio,Federico,Stefano Luca Antonino,Liberatore,Titolare,218,267,23,30,7,8,31/05/2024,31/05/2024
MII181820,Vasto,Casa di lavoro,197,50,92,6/17/24,Chieti Lanciano - Vasto,Doralice,Di Fabio,Giuseppina,Ruggero,Titolare,66,99,15,19,4,5,31/05/2024,31/05/2024
MII181839,Velletri,Casa circondariale,412,26,592,6/17/24,RM 6,Emanuela,Falconi,Anna Rita,Gentile,Titolare,187,277,25,32,6,8,31/05/2024,31/05/2024
MII181424,Torino,Casa circondariale - Lorusso Cutugno,1118,17,1488,6/17/24,TO 2,Roberto,Testi,Elena,Lombardi Vallauri,Titolare,676,894,45,53,17,18,31/05/2024,31/05/2024
MII158919,"Alessandria Cantiello, Gaeta",Casa circondariale,233,22,200,6/17/24,AL,Roberto,Stura,Maria Isabella,De Gennaro,Titolare,129,171,10,33,2,10,31/05/2024,31/05/2024
MII179995,Reggio Calabria Giuseppe Panzera,Casa circondariale,180,8,224,6/17/24,5 Reggio Calabria,Luciano,Lucania,Roberta,Velletri,Titolare,154,190,24,0,4,0,31/05/2024,31/05/2024
MII181891,Verona,Casa circondariale - Montorio,335,7,618,6/17/24,ULSS 6 - Scaligera,Gabriella,Trenchi,Francesca,Gioieni,Titolare,302,380,20,26,4,5,31/05/2024,31/05/2024
MII173114,Cassino,Casa circondariale,200,73,208,6/17/24,Frosinone,Giovanni,Mazzetti,,,,107,162,20,18,5,3,31/05/2024,31/05/2024
MII176437,Frosinone,Casa circondariale - Giuseppe Pagliei,513,24,628,6/17/24,Ditretto B,Luca,Casertano,Teresa,Mascolo,Titolare,247,296,26,30,7,8,31/05/2024,31/05/2024
MII169535,Rieti,Casa circondariale - Nuovo Complesso,295,6,492,6/17/24,Rieti,Giulia,Carocci,Chiara,Pellegrini,Titolare,114,176,22,23,5,6,31/05/2024,31/05/2024
MII158924,Alessandria San Michele,Casa di reclusione,265,2,358,6/17/24,AL,Roberto,STURA,,,,177,207,16,0,8,0,31/05/2024,31/05/2024
MII172277,Altamura,Casa di reclusione,52,1,89,6/17/24,Bari,Giuseppe,D'Auria,,,,40,0,6,0,1,0,31/05/2024,31/05/2024
MII172623,Brindisi,Casa circondariale,152,33,179,6/17/24,Brindisi,Michele,Morgillo,Valentina,Meo Evoli,Titolare,128,126,21,18,5,5,31/05/2024,31/05/2024
MII176743,Grosseto,Casa circondariale,15,0,25,6/17/24,9 Grosseto,Paolo,Pedicelli,Maria Teresa,Iuliano,Titolare,29,37,10,12,1,1,31/05/2024,31/05/2024
MII176375,Foggia,Casa circondariale,364,19,689,6/17/24,FOGGIA 3,Luciano,D'Amito,Giulia,Magliulo,Titolare,247,261,30,29,8,7,31/05/2024,31/05/2024
MII177498,Livorno Gorgona,Casa di reclusione,89,0,82,6/17/24,6,Renzo,Cantini Salaris,,,,0,0,4,0,1,0,,31/05/2024
MII177463,Livorno,Casa circondariale,391,210,254,6/17/24,6,Giovanna,Bellini,Giuseppe,Renna,Titolare,227,279,24,35,9,9,31/05/2024,31/05/2024
MII178045,Lucera,Casa circondariale,135,0,170,6/17/24,Foggia 3,Paolo,De Luca,Immacolata,Mannarella,Titolare,74,79,16,17,3,3,31/05/2024,31/05/2024
MII178124,Matera,Casa circondariale,132,6,189,6/17/24,Matera,ROCCO,PASCIUCCO,Rosa,Musicco,Titolare,87,131,15,15,4,3,31/05/2024,31/05/2024
MII178141,Melfi,Casa circondariale,126,0,197,6/17/24,Venosa,Grazia,Ciriello,Anna Maria Rosaria,Petraccone,Titolare,120,139,7,16,1,3,31/05/2024,31/05/2024
MII179938,Potenza,Casa circondariale - Antonio Santoro,110,58,100,6/17/24,ASP Potenza,Giuseppina,Ammirati,Paolo,Pastena,Titolare,106,122,16,17,4,3,31/05/2024,31/05/2024
MII180476,San Severo,Casa circondariale,61,0,80,6/17/24,FG/01,Matteo,Coccia,Patrizia,Andrianello,Titolare,41,49,8,10,3,2,31/05/2024,31/05/2024
MII181377,Taranto,Casa circondariale - Carmelo Magli,500,16,941,6/17/24,ASL TA,Fernanda,Gentile,Luciano,Mellone,Titolare,310,277,23,31,5,8,31/05/2024,31/05/2024
MII181434,Trani,Casa circondariale,447,146,411,6/17/24,Bat,Nicola,Riefolo,Giuseppe,Altomare,Titolare,183,211,26,26,6,6,31/05/2024,31/05/2024
MII182919,Pisa,Casa circondariale,197,10,290,6/17/24,USL5 PISA,BIANCA MARIA,MELIS,Tazio,Bianchi,Titolare,184,221,18,20,4,4,31/05/2024,31/05/2024
MII181681,Turi,Casa di reclusione,108,0,167,6/17/24,,,,Nicoletta,Siliberti,Titolare,82,77,15,14,0,2,31/05/2024,31/05/2024
MII179896,Pistoia,Casa circondariale,76,0,73,6/17/24,Toscana Centro,Domenico,Cerullo,Loredana,Stefanelli,Titolare,52,66,13,14,4,3,31/05/2024,31/05/2024
MII158948,Arezzo,Casa circondariale,108,84,40,6/17/24,toscana sudest,Mateo,Ameglio,Alessandro,Monacelli,Titolare,29,47,10,15,2,3,31/05/2024,31/05/2024
MII181678,Bari,Casa circondariale - Francesco Rucci,294,45,403,6/17/24,Bari,Nicola,Buovino,Valeria,Pire',Titolare,220,276,26,26,4,5,31/05/2024,31/05/2024
MII174720,Firenze Sollicciano,Casa circondariale,497,89,558,6/17/24,Firenze,Marco,Salvadori,Antonella,Tuoni,Titolare,421,566,27,34,9,11,31/05/2024,31/05/2024
MII179280,Orvieto,Casa di reclusione,98,0,116,6/17/24,2 Terni,Gianpaolo,Piunno,Annunziata,Passannante,Titolare,50,61,24,21,6,5,31/05/2024,31/05/2024
MII158935,Alghero,Casa di reclusione - Giuseppe Tomasiello,156,0,92,6/17/24,numero 1,Walter,Sarais,Tullia,Carra,Titolare,69,90,13,16,4,4,31/05/2024,31/05/2024
MII179958,Prato,Casa circondariale,589,17,597,6/17/24,n 4 Prato,Antonella,Mnfredi,Domenico,Ciaburri,Titolare,235,310,27,35,7,9,31/05/2024,31/05/2024
MII181115,Siena,Casa circondariale,58,0,78,6/17/24,SIENA,Ameglio,Mateo,Marco,Grasselli,Titolare,39,50,9,13,2,2,31/05/2024,31/05/2024
MII181358,Spoleto,Casa di reclusione,456,18,443,6/17/24,Umbria 2 - Spoleto,Simonetta,Antinarelli,Bernardina,Di Mario,Titolare,223,281,27,31,9,8,31/05/2024,31/05/2024
MII172835,Cagliari Uta,Casa circondariale - Ettore Scalas,561,0,668,6/17/24,ATS Sardegna,Luciano,Fei,Pietro,Borruto,Titolare,305,421,32,41,12,12,31/05/2024,31/05/2024
MII158910,Agrigento,Casa circondariale - Pasquale Di Lorenzo,283,6,372,6/17/24,ASP 1 AGRIGENTO,GIUSEPPE,MANCUSO,Anna,Puci,Titolare,225,236,23,23,5,5,31/05/2024,31/05/2024
MII177118,Lanusei,Casa circondariale - San Daniele,33,0,29,6/17/24,ATS Sardegna ASSL Lanusei,Roberto,Marcialis,Maria Anna,Madeddu,Titolare,36,42,5,9,0,2,31/05/2024,31/05/2024
MII179224,Nuoro,Casa circondariale,378,106,193,6/17/24,Nuoro,Giovanni,Fancello,Maria Anna,Madeddu,Reggente,147,205,16,22,7,5,31/05/2024,31/05/2024
MII181091,Sassari,Casa circondariale - Giovanni Bacchiddu,454,3,494,6/17/24,ATS Sardegna,Giampiero,Carboni,Francesco,Cocco,Titolare,285,400,24,32,8,9,31/05/2024,31/05/2024
MII178148,Messina,Casa circondariale,302,82,207,6/17/24,,,,Angela,Sciavicco,Titolare,214,247,22,22,4,4,31/05/2024,31/05/2024
MII158945,Arbus,Casa di reclusione - località Is Arenas,176,50,90,6/17/24,n.6,Aldo,Casadio,Maria Teresa,Errico,Titolare,60,88,12,20,6,5,31/05/2024,31/05/2024
MII180458,San Gimignano,Casa di reclusione,243,20,312,6/17/24,7,Ameglio,Mateo,Maria Grazia,Giampiccolo,Titolare,194,229,12,21,6,6,31/05/2024,31/05/2024
MII172222,Barcellona Pozzo di Gotto,Casa circondariale - Vittorio Madia,414,114,204,6/17/24,Messina,Tommaso,Bucca,Romina,Taiani,Titolare,135,166,26,26,8,7,31/05/2024,31/05/2024
MII178003,Onanì,Casa di reclusione - Onanì-Mamone,292,108,129,6/17/24,N. 3 Nuoro,Giovanni,Fancello,Vincenzo,Lamonaca,Titolare,86,116,12,24,6,6,31/05/2024,31/05/2024
MII179274,Oristano,Casa di reclusione - Salvatore Soro,264,0,226,6/17/24,n.5,Daniela,Faa,Elisa,Milanesi,Titolare,144,211,17,22,6,6,31/05/2024,31/05/2024
MII181385,Tempio Pausania,Casa di reclusione - Paolo Pittalis,170,0,168,6/17/24,TEMPIO/OLBIA 2,Manconi,Anna,Veronica,Proietti,Titolare,108,161,13,19,6,5,31/05/2024,31/05/2024
MII179965,Ragusa,Casa circondariale,196,13,198,6/17/24,7,giuseppe,cappello,Santo,Mortillaro,Titolare,77,91,18,18,3,3,31/05/2024,31/05/2024
MII178666,Napoli Poggioreale,Casa circondariale - Giuseppe Salvia,1624,266,2053,6/17/24,Napoli 1,Vincenzo Maria,Irollo,Carlo,Berdini,Titolare,682,911,67,63,22,24,31/05/2024,31/05/2024
MII180370,Roma Rebibbia Nuovo Complesso,Casa circondariale - Raffaele Cinotti,1170,113,1551,6/17/24,RmB,Pierino,Cimino,Alessia,Rampazzi,Titolare,661,851,63,58,17,16,31/05/2024,31/05/2024
MII158895,Milano San Vittore,Casa circondariale - Francesco Di Cataldo,708,250,1041,6/17/24,Milano,Ruggiero,Giuliani,Giacinto,Siciliano,Titolare,551,780,33,45,13,14,31/05/2024,31/05/2024
MII178501,Milano San Vittore femminile,Casa circondariale - Francesco Di Cataldo,46,3,82,6/17/24,MILANO,Ruggero,Giuliani,,,,0,0,0,0,0,0,,
MII174825,Firenze Mario Gozzini,Casa circondariale,92,14,95,6/17/24,10,Marco,Salvatori,Vincenzo,Tedeschi,Titolare,41,51,15,16,2,3,31/05/2024,31/05/2024
MII179781,Perugia,Casa circondariale - Nuovo complesso penitenziario Capanne,363,40,472,6/17/24,Umbria 1,Alessandro,Lucarini,Antonella,Grella,Titolare,199,248,23,27,5,6,31/05/2024,31/05/2024
MII179932,Porto Azzurro,Casa di reclusione - Pasquale De Santis,334,31,303,6/17/24,6 - Livorno,Federica,ONETTO,Martina,Carducci,Titolare,160,205,22,26,9,10,31/05/2024,31/05/2024
MII181407,Terni,Casa circondariale,422,0,553,6/17/24,Umbria n. 2,Antonio,Marozzo,Luca,Sardella,Titolare,192,241,28,25,7,6,31/05/2024,31/05/2024
MII180465,Sanremo,Casa di reclusione - Nuovo Complesso,223,2,245,6/17/24,ASL N. 1 IMPERIESE,Rosella,Stagnaro,Maria Cristina,Marre' Brunenghi,Titolare,157,201,12,19,6,5,31/05/2024,31/05/2024
MII181109,Sciacca,Casa circondariale,73,53,23,6/17/24,ASP N1 AGRIGENTO SCIACCA,Fabio,Segreto,Marilena,Scaravilli,Titolare,47,48,13,13,2,2,31/05/2024,31/05/2024
MII178672,Napoli Secondigliano,Casa circondariale - Pasquale Mandato,1109,14,1382,6/17/24,Napoli 1 centro,Francesco,Maffettone,Giulia,Russo,Titolare,1060,1080,57,56,19,18,31/05/2024,31/05/2024
MII172592,Brescia Canton Monbello,Casa circondariale - Nerio Fischione,182,0,377,6/17/24,A.S.S.T. SPEDALI CIVILI,Fabio,Roda,Francesca Paola,Lucrezi,Titolare,175,227,16,30,7,8,31/05/2024,31/05/2024
MII181392,Teramo,Casa circondariale,255,0,390,6/17/24,Teramo,Massimo,Forlini,Lucia,Di Feliciantonio,Titolare,159,216,19,21,4,5,31/05/2024,31/05/2024
MII177332,Latina,Casa circondariale,77,0,130,6/17/24,LT Distretto 2,Antonio,Ciurleo,Pia Paola,Palmeri,Titolare,119,132,16,17,5,4,31/05/2024,31/05/2024
MII181918,Vicenza,Casa circondariale - Filippo Del Papa,276,34,352,6/17/24,N.8 Berica,Stefano,Tolio,Luciana,Traetta,Titolare,176,187,14,20,4,3,31/05/2024,31/05/2024
MII178085,Massa,Casa di reclusione,174,6,218,6/17/24,1,Anna,Santinami,Antonella,Venturi,Titolare,120,139,15,24,4,5,31/05/2024,31/05/2024
MII178115,Massa Marittima,Casa circondariale,48,0,33,6/17/24,Grosseto,Fabio,Falorni,Maria Cristina,Morrone,Titolare,28,37,8,14,2,2,31/05/2024,31/05/2024
MII158944,Ancona Barcaglione,Casa di reclusione,100,0,95,6/17/24,Ancona,Franco,Dolcini,,,,53,67,8,0,3,0,31/05/2024,31/05/2024
MII158941,Ancona Montacuto,Casa circondariale,256,0,330,6/17/24,Asur Marche Area Vasta 2,Enrico,Boario,Manuela,Ceresani,Titolare,125,176,17,31,5,8,31/05/2024,31/05/2024
MII172011,Avellino,Casa circondariale - Antimo Graziano Bellizzi,503,0,620,6/17/24,Avellino,Carmine,Urciuoli,Rita,Romano,Titolare,282,297,27,34,8,10,31/05/2024,31/05/2024
